customer,recency,frequency,monetary,cluster,cluster_label
+000.00Ebzs,13,2,3827.7200000000003,4,Cliente Perdido
+062.12Ebzs,23,1,1479.17,0,Clientes que Necesitan Atención
+131.34Ebzs,17,1,668.27,0,Clientes que Necesitan Atención
+304.68Ebzs,20,2,12142.59,0,Clientes que Necesitan Atención
+442.34Ebzs,1,10,13247.76,1,Cliente Prometedor
+503.56Ebzs,23,1,5507.83,0,Clientes que Necesitan Atención
+524.76Ebzs,1,8,14268.949999999999,1,Cliente Prometedor
00025c4cbzs,9,2,1583.21,4,Cliente Perdido
001cdb6dbzs,20,2,6380.27,0,Clientes que Necesitan Atención
001f25aebzs,20,1,1153.45,0,Clientes que Necesitan Atención
00208f6bbzs,16,1,988.72,4,Cliente Perdido
003508a5bzs,3,3,27787.18,1,Cliente Prometedor
0035c443bzs,16,1,1951.26,4,Cliente Perdido
00376daebzs,11,1,2933.18,4,Cliente Perdido
003a3674bzs,11,1,783.02,4,Cliente Perdido
003c0276bzs,1,9,23313.120000000003,1,Cliente Prometedor
0045c2bfbzs,10,4,4914.87,4,Cliente Perdido
004cfa78bzs,15,1,1022.89,4,Cliente Perdido
004f3ad5bzs,14,1,1083.41,4,Cliente Perdido
006bbdf1bzs,9,1,875.84,4,Cliente Perdido
007f6e44bzs,5,1,1274.32,1,Cliente Prometedor
0080b0bdbzs,13,2,1730.26,4,Cliente Perdido
00865703bzs,21,1,2102.56,0,Clientes que Necesitan Atención
0095b71ebzs,13,1,1046.69,4,Cliente Perdido
00b033c1bzs,9,2,948.94,4,Cliente Perdido
00b6c54bbzs,4,2,1416.78,1,Cliente Prometedor
00bf7cb7bzs,5,11,17704.14,1,Cliente Prometedor
00c2722dbzs,16,1,870.74,4,Cliente Perdido
00d28fe9bzs,14,1,1258.1105,4,Cliente Perdido
00d50acebzs,6,1,1291.83,1,Cliente Prometedor
00df90eebzs,1,7,14727.61,1,Cliente Prometedor
00e6b5fabzs,21,1,1135.77,0,Clientes que Necesitan Atención
00efc7c9bzs,23,1,890.12,0,Clientes que Necesitan Atención
00f13a5dbzs,8,1,1544.96,4,Cliente Perdido
01072621bzs,14,1,533.46,4,Cliente Perdido
0107793bbzs,9,1,640.9,4,Cliente Perdido
01167e85bzs,24,1,1031.39,0,Clientes que Necesitan Atención
011fc3d0bzs,15,1,849.83,4,Cliente Perdido
013a38eabzs,8,1,1297.27,4,Cliente Perdido
014de2f1bzs,12,4,2856.17,4,Cliente Perdido
015347adbzs,6,1,683.57,1,Cliente Prometedor
0154923abzs,2,5,7822.72,1,Cliente Prometedor
015bc45bbzs,5,1,1452.82,1,Cliente Prometedor
015ca19cbzs,22,1,698.7,0,Clientes que Necesitan Atención
015cafaebzs,21,4,2551.5299999999997,0,Clientes que Necesitan Atención
0161d350bzs,15,1,398.31,4,Cliente Perdido
0167c369bzs,6,1,831.47,1,Cliente Prometedor
016c15d0bzs,9,1,2019.77,4,Cliente Perdido
01752ba6bzs,5,1,24102.94,1,Cliente Prometedor
01833ebabzs,22,1,698.7,0,Clientes que Necesitan Atención
01907f47bzs,12,1,983.96,4,Cliente Perdido
01a410c7bzs,15,1,1262.76,4,Cliente Perdido
01af4a1cbzs,1,105,325613.41,3,Mejores clientes
01b8143dbzs,15,1,1203.09,4,Cliente Perdido
01ccb97fbzs,6,2,3438.9300000000003,1,Cliente Prometedor
01d043c2bzs,23,1,2572.61,0,Clientes que Necesitan Atención
01d8070bbzs,23,1,698.7,0,Clientes que Necesitan Atención
01d927b8bzs,23,1,7879.67,0,Clientes que Necesitan Atención
01dcc0ecbzs,1,1,1029.35,1,Cliente Prometedor
01dfc431bzs,6,2,2989.62,1,Cliente Prometedor
01e20d4cbzs,11,1,842.01,4,Cliente Perdido
01e36dd4bzs,17,2,5001.4,0,Clientes que Necesitan Atención
0221f2fabzs,23,1,43296.79,0,Clientes que Necesitan Atención
0224d09cbzs,21,1,6171.68,0,Clientes que Necesitan Atención
02265651bzs,9,1,1236.58,4,Cliente Perdido
024cdc95bzs,8,4,4566.030000000001,4,Cliente Perdido
024e121dbzs,8,1,688.16,4,Cliente Perdido
0254def7bzs,19,1,2040.51,0,Clientes que Necesitan Atención
0254ffd7bzs,6,1,487.9,1,Cliente Prometedor
0263e5a2bzs,21,1,615.74,0,Clientes que Necesitan Atención
026ae54abzs,23,1,698.7,0,Clientes que Necesitan Atención
029982d8bzs,9,1,759.39,4,Cliente Perdido
029d3683bzs,14,1,779.62,4,Cliente Perdido
02ace86dbzs,21,1,1029.52,0,Clientes que Necesitan Atención
02addd17bzs,2,1,593.64,1,Cliente Prometedor
02b4cc0fbzs,22,1,1845.01,0,Clientes que Necesitan Atención
02b833cbbzs,21,1,6729.11,0,Clientes que Necesitan Atención
02bbc5c6bzs,2,34,82023.81,2,Cliente Leal
02be0b0cbzs,22,1,1298.29,0,Clientes que Necesitan Atención
02c13411bzs,12,1,966.28,4,Cliente Perdido
02d1c469bzs,23,1,1039.89,0,Clientes que Necesitan Atención
02dbf079bzs,16,1,531.59,4,Cliente Perdido
02e1caebbzs,24,1,528.53,0,Clientes que Necesitan Atención
02e30150bzs,1,22,37151.29,1,Cliente Prometedor
02eb48c7bzs,15,3,4034.27,4,Cliente Perdido
02f63545bzs,23,1,10139.14,0,Clientes que Necesitan Atención
03054a3ebzs,2,1,457.81,1,Cliente Prometedor
031c4625bzs,24,1,1428.0,0,Clientes que Necesitan Atención
03202558bzs,12,3,6688.99,4,Cliente Perdido
03252b56bzs,22,1,1056.38,0,Clientes que Necesitan Atención
0329a49cbzs,3,2,2202.86,1,Cliente Prometedor
032c04cdbzs,10,2,1354.22,4,Cliente Perdido
03465314bzs,2,30,54606.04,2,Cliente Leal
03521cdcbzs,20,1,2438.14,0,Clientes que Necesitan Atención
0354fd4ebzs,14,1,999.77,4,Cliente Perdido
036120c0bzs,8,1,582.93,4,Cliente Perdido
03655fadbzs,20,2,4148.68,0,Clientes que Necesitan Atención
0368b5d8bzs,4,1,1300.16,1,Cliente Prometedor
037256ddbzs,4,3,8288.52,1,Cliente Prometedor
0377b601bzs,3,4,7214.12,1,Cliente Prometedor
037937a5bzs,20,2,1713.94,0,Clientes que Necesitan Atención
03795df4bzs,5,7,10115.5287,1,Cliente Prometedor
037c3a72bzs,7,1,5941.84,1,Cliente Prometedor
037ca568bzs,23,1,3662.14,0,Clientes que Necesitan Atención
038458f6bzs,10,2,4539.68,4,Cliente Perdido
038aadd0bzs,9,1,782.68,4,Cliente Perdido
039e3152bzs,24,1,5935.04,0,Clientes que Necesitan Atención
03b2e6febzs,18,1,2899.86,0,Clientes que Necesitan Atención
03b3fac9bzs,21,1,698.7,0,Clientes que Necesitan Atención
03c67e26bzs,1,63,164895.75,2,Cliente Leal
03d3663cbzs,4,12,70879.45999999999,1,Cliente Prometedor
03ee8502bzs,8,2,2350.08,4,Cliente Perdido
03f619b7bzs,22,1,1271.6,0,Clientes que Necesitan Atención
04113314bzs,10,1,876.18,4,Cliente Perdido
04182a5bbzs,22,1,627.3,0,Clientes que Necesitan Atención
04361aa8bzs,20,1,5765.55,0,Clientes que Necesitan Atención
043fdfc3bzs,14,1,2204.39,4,Cliente Perdido
045a2d8cbzs,22,1,5473.66,0,Clientes que Necesitan Atención
04671cd2bzs,17,2,1933.58,0,Clientes que Necesitan Atención
046cd4fbbzs,24,1,552.67,0,Clientes que Necesitan Atención
0470826bbzs,1,3,8205.9,1,Cliente Prometedor
047feaa3bzs,4,2,4796.889999999999,1,Cliente Prometedor
04955aebbzs,19,1,1391.45,0,Clientes que Necesitan Atención
049945e8bzs,12,3,2972.62,4,Cliente Perdido
049d1744bzs,24,1,2008.55,0,Clientes que Necesitan Atención
04aa2a1ebzs,1,5,4583.88,1,Cliente Prometedor
04cd6089bzs,10,3,8965.119999999999,4,Cliente Perdido
04d2d483bzs,12,1,820.76,4,Cliente Perdido
04d33df9bzs,16,1,1441.43,4,Cliente Perdido
04d36798bzs,17,2,3577.48,0,Clientes que Necesitan Atención
04d65c6cbzs,10,1,390.49,4,Cliente Perdido
04dedec4bzs,9,1,1221.11,4,Cliente Perdido
04e24e26bzs,1,3,8956.789999999999,1,Cliente Prometedor
04e4a099bzs,8,3,3213.34,4,Cliente Perdido
04e9b306bzs,13,1,1769.36,4,Cliente Perdido
04f71deabzs,17,1,1017.11,0,Clientes que Necesitan Atención
05100063bzs,23,1,709.58,0,Clientes que Necesitan Atención
052ffeabbzs,21,1,3317.55,0,Clientes que Necesitan Atención
05467207bzs,8,12,12759.01,1,Cliente Prometedor
054d1890bzs,19,1,1560.09,0,Clientes que Necesitan Atención
055a129ebzs,14,1,1523.37,4,Cliente Perdido
0570bbabbzs,15,2,1883.77,4,Cliente Perdido
0574af09bzs,22,1,26001.33,0,Clientes que Necesitan Atención
057c5376bzs,20,1,2944.06,0,Clientes que Necesitan Atención
05841b8ebzs,1,59,246241.43,2,Cliente Leal
05961c45bzs,15,1,2615.96,4,Cliente Perdido
059a9c7dbzs,5,1,1059.27,1,Cliente Prometedor
05abe4ebbzs,5,2,7089.68,1,Cliente Prometedor
05b3634ebzs,6,5,14629.349999999999,1,Cliente Prometedor
05b61608bzs,21,1,1854.87,0,Clientes que Necesitan Atención
05c2d94bbzs,2,5,8650.28,1,Cliente Prometedor
05c45f81bzs,21,1,1620.95,0,Clientes que Necesitan Atención
05c8e263bzs,12,1,722.33,4,Cliente Perdido
05d0ced3bzs,13,1,1830.22,4,Cliente Perdido
05d81e8abzs,11,7,20645.31,4,Cliente Perdido
05d9eb0cbzs,2,3,2199.8,1,Cliente Prometedor
05db6415bzs,7,2,1160.59,1,Cliente Prometedor
05f1792fbzs,5,2,1661.92,1,Cliente Prometedor
05f5b9e2bzs,15,1,2085.56,4,Cliente Perdido
05fe67cebzs,4,1,1415.42,1,Cliente Prometedor
05fec8b6bzs,1,24,66363.41,2,Cliente Leal
060695d5bzs,13,3,15179.1606,4,Cliente Perdido
060c4af9bzs,8,1,2087.26,4,Cliente Perdido
062b7458bzs,13,1,528.36,4,Cliente Perdido
0630923fbzs,22,1,493.51,0,Clientes que Necesitan Atención
06318035bzs,13,1,764.83,4,Cliente Perdido
0642bdc9bzs,23,1,974.1,0,Clientes que Necesitan Atención
064f1f7dbzs,6,1,8789.51,1,Cliente Prometedor
065be73ebzs,24,1,1458.6,0,Clientes que Necesitan Atención
066f525dbzs,6,2,11115.62,1,Cliente Prometedor
068743d8bzs,1,6,44347.560000000005,1,Cliente Prometedor
06894121bzs,20,1,1977.61,0,Clientes que Necesitan Atención
068dc61fbzs,12,1,1692.01,4,Cliente Perdido
068f1041bzs,6,2,1770.21,1,Cliente Prometedor
06a741a0bzs,13,2,3535.66,4,Cliente Perdido
06a9ff0ebzs,20,1,698.7,0,Clientes que Necesitan Atención
06d978b4bzs,16,1,671.84,4,Cliente Perdido
06eb2cefbzs,17,1,2871.3,0,Clientes que Necesitan Atención
06f8700ebzs,20,1,1225.87,0,Clientes que Necesitan Atención
07136db6bzs,7,1,797.13,1,Cliente Prometedor
07156fc3bzs,21,2,1619.76,0,Clientes que Necesitan Atención
