customer,order_id,total_cobrado,timestamp_created,depto,estado,dto,cantidad,cart_id,pounds,descuento_abs,porcentaje_descuento
da042df9bzs,bb7b319msjuv,1055.53,2013-08-14 21:01:00,Central,mail,-120.0,1,19981541AA,2.275,120.0,11.0
4ab5e064bzs,09aed88msjuv,1308.15,2013-08-14 21:01:49,Central,mail,-120.0,1,17870342AA,2.765,120.0,9.0
9b5bb07cbzs,2097c72msjuv,1405.39,2013-08-14 21:02:31,Alto Parana,warehouse,-120.0,2,18500994AA,8.141,120.0,9.0
c98b2acdbzs,e93ce64msjuv,1004.7,2013-08-14 21:05:11,Central,mail,0.0,1,10113139AA,3.927,0.0,0.0
003c0276bzs,dfaaf85msjuv,1500.76,2013-08-14 21:07:04,Central,mail,-120.0,1,19617811AA,12.404,120.0,8.0
a4bb69ebbzs,7399bd5msjuv,1401.99,2013-08-14 21:14:09,Central,mail,0.0,2,13546115AA,10.15,0.0,0.0
62e6558dbzs,bdfc8f7msjuv,1115.03,2013-08-14 21:17:53,Alto Parana,boxed,0.0,1,19991546AA,11.452,0.0,0.0
a750e362bzs,d8d1afamsjuv,1035.98,2013-08-14 21:18:57,Central,delivered,0.0,3,19312277AA,6.825,0.0,0.0
68205562bzs,f8f62f4msjuv,979.88,2013-08-14 21:20:08,Central,delivered,0.0,1,15732157AA,2.814,0.0,0.0
e81cc7b1bzs,809e912msjuv,674.56,2013-08-14 21:22:02,Alto Parana,delivered,0.0,1,19531081AA,3.465,0.0,0.0
3cdaea64bzs,fa43ad5msjuv,1029.86,2013-08-14 21:23:59,Central,mail,0.0,1,19976757AA,5.18,0.0,0.0
8c8d0b1cbzs,f2de8b5msjuv,931.94,2013-08-14 21:27:24,Alto Parana,delivered,0.0,1,19991382AA,4.97,0.0,0.0
ade7b9e2bzs,7a3eaaemsjuv,2243.15,2013-08-14 21:28:59,Central,canceled,-180.0,3,7718606AA,18.48,180.0,8.0
8fc925d7bzs,8d22f82msjuv,18482.74,2013-08-14 21:29:47,Central,delivered,0.0,2,7649715AA,5.943,0.0,0.0
506c4468bzs,8771536msjuv,577.32,2013-08-14 21:30:08,Alto Parana,boxed,0.0,1,18981021AA,2.975,0.0,0.0
1a4a353cbzs,4b0a5d6msjuv,2267.97,2013-08-14 21:32:44,Alto Parana,warehouse,-120.0,3,9477548AA,15.225,120.0,5.0
3d26a061bzs,073e1fdmsjuv,754.46,2013-08-14 21:33:51,Alto Parana,delivered,0.0,1,19991734AA,2.975,0.0,0.0
d36de5ffbzs,b99bcc7msjuv,978.69,2013-08-14 21:34:55,Central,delivered,-120.0,1,10612466AA,4.06,120.0,12.0
d85b70e2bzs,1ac64efmsjuv,255.85,2013-08-14 21:35:18,Central,mail,0.0,1,19841027AA,4.165,0.0,0.0
b96ab02fbzs,d137f7cmsjuv,3610.97,2013-08-14 21:38:38,Central,mail,0.0,1,15135727AA,2.275,0.0,0.0
19192eafbzs,54b1d39msjuv,1001.81,2013-08-14 21:40:25,Central,warehouse,0.0,3,18377255AA,6.825,0.0,0.0
6f89fed5bzs,e25001fmsjuv,605.88,2013-08-14 21:41:40,Central,mail,-360.0,2,19789608AA,5.089,360.0,59.0
80f529f9bzs,dc66dbcmsjuv,1210.57,2013-08-14 21:43:23,Central,mail,-120.0,1,11523326AA,3.955,120.0,10.0
506c4468bzs,69f35c3msjuv,1225.7,2013-08-14 21:46:33,Central,delivered,-120.0,1,19400055AA,7.574,120.0,10.0
19192eafbzs,0f4a9a6msjuv,1641.01,2013-08-14 21:46:56,Central,mail,0.0,1,14290540AA,4.095,0.0,0.0
1fef6aa7bzs,9ac14dbmsjuv,2077.57,2013-08-14 21:49:14,Central,mail,0.0,2,19691045AA,11.739,0.0,0.0
1c5095b1bzs,cc60181msjuv,569.67,2013-08-14 21:49:43,Alto Parana,delivered,0.0,1,19134383AA,2.975,0.0,0.0
d4048558bzs,18d3350msjuv,605.88,2013-08-14 21:51:35,Central,delivered,0.0,1,19667655AA,4.165,0.0,0.0
b3c5032abzs,9ec2eaemsjuv,792.54,2013-08-14 21:51:48,Alto Parana,label_error,0.0,2,19654874AA,5.95,0.0,0.0
554287dbbzs,c9b36bdmsjuv,8383.55,2013-08-14 21:56:38,Central,delivered,-120.0,6,19927271AA,27.993,120.0,1.0
a3099d24bzs,4fc5ebfmsjuv,924.63,2013-08-14 21:58:43,Central,canceled,0.0,1,19974152AA,4.403,0.0,0.0
894f773bbzs,cd7ed59msjuv,1234.54,2013-08-14 22:04:29,Central,mail,-120.0,2,19987065AA,7.546,120.0,10.0
0b48ce23bzs,94a6a8fmsjuv,2674.95,2013-08-14 22:07:03,Alto Parana,delivered,0.0,3,19441020AA,22.925,0.0,0.0
7a70bcbcbzs,84f3304msjuv,1181.5,2013-08-14 22:07:13,Central,mail,-120.0,1,19988124AA,4.403,120.0,10.0
c0878e2ebzs,05a75bfmsjuv,9667.22,2013-08-14 22:07:13,Central,delivered,-120.0,10,19640138AA,52.255,120.0,1.0
1afd6ee4bzs,7b7d0abmsjuv,2941.68,2013-08-14 22:10:12,Alto Parana,delivered,0.0,1,19931477AA,11.767,0.0,0.0
c7ccbeb8bzs,d4011dfmsjuv,1301.18,2013-08-14 22:10:15,Central,mail,0.0,1,14322831AA,2.695,0.0,0.0
e65ad945bzs,fa6c15cmsjuv,7735.17,2013-08-14 22:11:43,Central,canceled,-120.0,1,18004432AA,10.003,120.0,2.0
32d8fe91bzs,44298famsjuv,1727.37,2013-08-14 22:14:19,Central,mail,-120.0,2,17729019AA,4.55,120.0,7.0
b791aae7bzs,15205admsjuv,3106.58,2013-08-14 22:14:56,Central,label_error,0.0,2,19992151AA,7.455,0.0,0.0
c79af40cbzs,a614239msjuv,974.44,2013-08-14 22:20:28,Alto Parana,delivered,-120.0,1,19934828AA,7.798,120.0,12.0
16bf84b0bzs,0891a06msjuv,1128.12,2013-08-14 22:20:31,Alto Parana,delivered,0.0,2,19689118AA,9.59,0.0,0.0
97026203bzs,cbaf1bdmsjuv,2485.74,2013-08-14 22:23:29,Central,delivered,0.0,1,19992380AA,15.148,0.0,0.0
ae0d70babzs,1543462msjuv,908.14,2013-08-14 22:23:58,Central,warehouse,0.0,2,14291882AA,4.55,0.0,0.0
2523b6abbzs,4ce7dbdmsjuv,2766.92,2013-08-14 22:25:42,Central,mail,-120.0,2,17478223AA,20.524,120.0,4.0
d85b70e2bzs,2d4d43fmsjuv,496.06,2013-08-14 22:31:33,Central,mail,0.0,1,19992413AA,2.275,0.0,0.0
361a412bbzs,6b23b43msjuv,1270.24,2013-08-14 22:32:33,Central,mail,0.0,1,19992680AA,3.605,0.0,0.0
bef39c15bzs,fab9511msjuv,2086.24,2013-08-14 22:33:57,Central,delivered,-164.52,1,19916772AA,6.461,164.52,8.0
c607072abzs,f695f6emsjuv,6726.05,2013-08-14 22:34:23,Alto Parana,canceled,0.0,1,19992755AA,2.975,0.0,0.0
279ea861bzs,404b0e7msjuv,5701.8,2013-08-14 22:35:22,Central,delivered,-120.0,1,13629087AA,6.895,120.0,2.0
9355c886bzs,d370931msjuv,1134.41,2013-08-14 22:35:42,Central,mail,-120.0,1,13913862AA,6.209,120.0,11.0
357e65cdbzs,af68e01msjuv,1020.51,2013-08-14 22:35:58,Alto Parana,delivered,0.0,2,19968483AA,7.616,0.0,0.0
a3f537f5bzs,110346dmsjuv,669.29,2013-08-14 22:37:25,Alto Parana,delivered,0.0,1,14922940AA,5.103,0.0,0.0
01ccb97fbzs,13411bcmsjuv,1476.45,2013-08-14 22:37:39,Central,mail,0.0,3,19992233AA,11.382,0.0,0.0
efc08040bzs,c0ae725msjuv,585.99,2013-08-14 22:37:49,Central,delivered,0.0,1,19992751AA,4.27,0.0,0.0
487f40a3bzs,642c31fmsjuv,1715.13,2013-08-14 22:41:19,Central,mail,0.0,2,19190032AA,10.36,0.0,0.0
a7527d2abzs,1e8c1f4msjuv,489.09,2013-08-14 22:43:06,Central,mail,0.0,1,19992870AA,3.787,0.0,0.0
b96ab02fbzs,af2cb22msjuv,1459.28,2013-08-14 22:46:15,Central,mail,0.0,3,17261278AA,9.03,0.0,0.0
67d4fb84bzs,eb6ac63msjuv,696.66,2013-08-14 22:46:39,Alto Parana,delivered,0.0,1,16236234AA,4.97,0.0,0.0
357e65cdbzs,f619953msjuv,645.83,2013-08-14 22:48:20,Alto Parana,delivered,0.0,2,19992884AA,5.95,0.0,0.0
2ce6ba93bzs,cdd5845msjuv,1272.96,2013-08-14 22:49:22,Central,mail,-120.0,1,19987758AA,4.095,120.0,9.0
d1968a18bzs,81f530amsjuv,1277.38,2013-08-14 22:50:44,Central,canceled,0.0,3,19791487AA,8.75,0.0,0.0
ad977a9bbzs,5a6e1femsjuv,1851.81,2013-08-14 22:50:47,Central,mail,-120.0,3,19940865AA,11.445,120.0,6.0
b68e355ebzs,5660b7bmsjuv,2120.41,2013-08-14 22:51:59,Central,mail,0.0,2,9386997AA,6.041,0.0,0.0
163165a1bzs,c9b9ff2msjuv,2786.13,2013-08-14 22:52:00,Central,mail,-120.0,1,19882171AA,5.18,120.0,4.0
b893eaccbzs,0fa8482msjuv,1113.16,2013-08-14 22:52:36,Central,mail,0.0,1,19992922AA,2.275,0.0,0.0
878ad735bzs,73a465amsjuv,533.29,2013-08-14 22:53:46,Central,mail,0.0,1,19869727AA,2.275,0.0,0.0
8e524a7cbzs,a29e45amsjuv,2087.26,2013-08-14 22:54:32,Central,mail,-120.0,3,8926841AA,16.597,120.0,6.0
bdbf1adbbzs,bab8c2dmsjuv,1081.54,2013-08-14 22:57:52,Alto Parana,delivered,0.0,1,13121172AA,5.495,0.0,0.0
76ce8ad6bzs,fa7c44emsjuv,739.16,2013-08-14 22:59:48,Central,mail,0.0,1,19993046AA,2.275,0.0,0.0
3767fa52bzs,739b841msjuv,2068.05,2013-08-14 23:00:12,Central,mail,0.0,2,19985934AA,7.735,0.0,0.0
d233a568bzs,70d8609msjuv,639.03,2013-08-14 23:02:03,Central,canceled,0.0,1,17516110AA,2.667,0.0,0.0
d482d68dbzs,61f792emsjuv,13763.71,2013-08-14 23:02:42,Alto Parana,delivered,0.0,2,17104964AA,8.078,0.0,0.0
50af82a3bzs,f722464msjuv,1739.1,2013-08-14 23:04:36,Central,mail,0.0,1,11188876AA,4.095,0.0,0.0
dfcf2387bzs,6a92de0msjuv,189.38,2013-08-14 23:07:20,Central,mail,0.0,1,19992705AA,2.275,0.0,0.0
73044a74bzs,396279cmsjuv,1553.63,2013-08-14 23:09:25,Central,mail,-120.0,1,13053222AA,4.095,120.0,8.0
b32cf61ebzs,c17c8e1msjuv,1063.18,2013-08-14 23:12:54,Central,canceled,-120.0,1,19986431AA,4.746,120.0,11.0
4b762f44bzs,bb3ddc2msjuv,1911.65,2013-08-14 23:15:47,Central,delivered,-180.0,1,18142557AA,4.06,180.0,9.0
2d11cdfcbzs,abbf674msjuv,1070.15,2013-08-14 23:16:37,Alto Parana,delivered,0.0,1,19944772AA,9.828,0.0,0.0
651ea674bzs,5fbd3bdmsjuv,1120.47,2013-08-14 23:18:38,Alto Parana,delivered,-120.0,2,19848571AA,9.52,120.0,11.0
